Bin ID,Representative,Completeness,Contamination,Genome Size,Quality,Nr contigs,Classification,GTDBtk fastani Ref,16S rRNA,23S rRNA,5S rRNA,16S partial,23S partial,5S partial,Unique tRNAs,Total tRNAs,MIMAG,Sample,Original ID
SHD1_2081.fna.gz,No,77.43,0.19,2837883,medium-quality,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546645,GCA_900546645.1,6.0,6.0,6.0,0.0,0.0,0.0,21,83,No,D000,10G_20G_SemiBin_21_D000
SHD1_2473.fna.gz,No,61.7,1.09,1821304,medium-quality,49,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900543175,GCA_900543175.1,1.0,1.0,3.0,0.0,0.0,1.0,13,19,No,D000,10G_20G_SemiBin_37_D000
SHD1_0222.fna.gz,Yes,99.99,0.13,1622650,high-quality,1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D upsaliensis,GCF_900637395.1,3.0,3.0,0.0,0.0,0.0,0.0,24,45,Yes,D000,ALL_LR_SemiBin_0_D000
SHD1_0133.fna.gz,Yes,99.84,0.05,3626789,high-quality,3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola,GCF_000154845.1,6.0,6.0,6.0,0.0,0.0,0.0,23,94,Yes,D000,ALL_LR_SemiBin_1_D000
SHD1_0279.fna.gz,No,99.9,0.15,1852133,high-quality,1,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis,GCF_000156175.1,4.0,4.0,4.0,0.0,0.0,0.0,22,51,Yes,D000,ALL_LR_SemiBin_10_D000
SHD1_0389.fna.gz,No,99.82,0.21,1918786,high-quality,1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__,,2.0,2.0,2.0,0.0,0.0,0.0,22,39,Yes,D000,ALL_LR_SemiBin_11_D000
SHD1_1200.fna.gz,No,99.68,1.16,1953097,high-quality,1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885,GCF_021531475.1,7.0,7.0,1.0,0.0,0.0,0.0,23,53,Yes,D000,ALL_LR_SemiBin_12_D000
SHD1_0647.fna.gz,No,98.69,0.22,2214492,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira sp900543365,GCA_900543365.1,4.0,4.0,0.0,0.0,0.0,0.0,22,53,Yes,D000,ALL_LR_SemiBin_13_D000
SHD1_1427.fna.gz,No,99.99,1.77,2417296,high-quality,4,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555845,GCA_905200055.1,7.0,7.0,8.0,0.0,0.0,1.0,24,62,Yes,D000,ALL_LR_SemiBin_15_D000
SHD1_1624.fna.gz,No,97.4,1.94,3187078,high-quality,19,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625,GCF_001517625.2,4.0,4.0,0.0,0.0,0.0,0.0,23,62,Yes,D000,ALL_LR_SemiBin_17_D000
